"schoolid";"program%.engineering_technology";"demographics.ethn.non_resident_alien";"program%.english";"program%.resources";"demographics.ethn.black";"program%.social_science";"program%.philosophy_religious";"demographics.ethn.asian";"program%.humanities";"demographics.ethn.white";"attendance.academic_year";"tuition.out_of_state";"program%.ethnic_cultural_gender";"aid.federal_loan_rate";"program%.public_administration_social_service";"act_scores.midpoint.writing";"school.name";"demographics.ethn.two_or_more";"size";"grad_students";"program%.computer";"program%.engineering";"act_scores.midpoint.cumulative";"program%.biological";"program%.communication";"aid.loan_principal";"sat_scores.average.overall";"net_price.private.by_income_level.75001-110000";"act_scores.midpoint.english";"program%.communications_technology";"program%.mechanic_repair_technology";"aid.median_debt.income.30001_75000";"aid.median_debt.completers.overall";"program%.business_marketing";"program%.physical_science";"program%.library";"tuition.in_state";"program%.history";"program%.military";"net_price.private.by_income_level.110001-plus";"demographics.ethn.nhpi";"program%.mathematics";"program%.science_technology";"program%.transportation";"program%.legal";"program%.construction";"share_25_older";"aid.median_debt.income.greater_than_75000";"program%.architecture";"program%.psychology";"demographics.age_entry";"sat_scores.midpoint.writing";"program%.multidiscipline";"sat_scores.midpoint.math";"net_price.private.by_income_level.48001-75000";"program%.parks_recreation_fitness";"demographics.median_family_income";"demographics.female_share";"act_scores.midpoint.math";"program%.health";"aid.median_debt.noncompleters";"program%.education";"program%.security_law_enforcement";"program%.theology_religious_vocation";"program%.language";"program%.visual_performing";"aid.median_debt.income.0_30000";"avg_net_price.private";"net_price.private.by_income_level.30001-48000";"school.ft_faculty_rate";"demographics.ethn.aian";"demographics.ethn.hispanic";"program%.precision_production";"sat_scores.midpoint.critical_reading";"admission_rate.overall";"program%.agriculture";"demographics.ethn.unknown";"net_price.private.by_income_level.0-30000";"program%.family_consumer_science";"demographics.avg_family_income";"program%.personal_culinary";"school.faculty_salary";"aid.students_with_any_loan";"avg_net_price.public";"avg_net_price.program_year";"avg_net_price.other_academic_year";"net_price.public.by_income_level.0-30000";"net_price.public.by_income_level.30001-48000";"net_price.public.by_income_level.48001-75000";"net_price.public.by_income_level.75001-110000";"net_price.public.by_income_level.110001-plus";"attendance.program_year";"tuition.program_year"
100663;0.0;0.0179;0.0158;0.0;0.2626;0.0365;0.005;0.0598;0.0135;0.5786;22684;18368;0.0005;0.5179;0.0221;0.0;"University of Alabama at Birmingham";0.0387;12047;7166.0;0.0131;0.0599;25.0;0.0734;0.036;14979.5;1125.0;0.0;26.0;0.0;0.0;14560.0;21833.0;0.2072;0.0212;0.0;8040;0.0162;0.0;0.0;0.0004;0.009;0.0;0.0;0.0;0.0;0.2363;14375.0;0.0;0.0766;23;0.0;0.0;575.0;0.0;0.0;34489;0.6390907397;23.0;0.25;9500.0;0.0748;0.0243;0.0;0.0059;0.0392;15449.0;0.0;0.0;0.8918;0.0028;0.0309;0.0;560.0;0.5814;0.0;0.0083;0.0;0.0;51306;0.0;10517;0.8574622694;16475.0;"";"";13849.0;15385.0;18022.0;18705.0;19319.0;"";""
104151;0.0022;0.1264;0.02;0.0102;0.0384;0.0989;0.0068;0.071;0.0004;0.5081;23931;26470;0.0056;0.4095;0.0;0.0;"Arizona State University-Tempe";0.0401;42224;9392.0;0.04;0.113;25.0;0.0817;0.0396;14000.0;1147.0;0.0;25.0;0.0;0.0;14000.0;20000.0;0.2454;0.0134;0.0;10370;0.0079;0.0;0.0;0.0023;0.0101;0.0;0.0;0.0108;0.0;0.1231;13227.0;0.0188;0.0439;24;0.0;0.0636;585.0;0.0;0.0011;35851;0.5568306611;26.0;0.0092;8500.0;0.0517;0.0;0.0;0.0112;0.0729;15000.0;0.0;0.0;0.9201;0.0112;0.1958;0.0;565.0;0.825;0.0;0.0066;0.0;0.0215;56365;0.0;11068;0.7940918076;11572.0;"";"";6598.0;8302.0;14194.0;15564.0;17592.0;"";""
104179;0.0019;0.068;0.0177;0.0132;0.0389;0.0864;0.0111;0.0546;0.0007;0.5132;24633;34967;0.0089;0.3986;0.0121;0.0;"University of Arizona";0.0451;33402;9467.0;0.0293;0.0725;0.0;0.1042;0.0422;13000.0;0.0;0.0;0.0;0.0;0.0;12831.5;19000.0;0.1471;0.0263;0.0;11769;0.0106;0.0;0.0;0.0027;0.0145;0.0;0.0;0.002;0.0;0.0797;12875.5;0.0194;0.0668;21;0.0;0.0702;0.0;0.0;0.005;43043;0.5628539071;0.0;0.0746;7500.0;0.0435;0.0138;0.0;0.0296;0.0357;13033.0;0.0;0.0;0.7057;0.0117;0.2576;0.0;0.0;0.7862;0.0192;0.0081;0.0;0.0215;69476;0.0;10590;0.7928390975;16150.0;"";"";12914.0;14777.0;17715.0;19545.0;20103.0;"";""
106458;0.0103;0.0582;0.0112;0.0018;0.1357;0.0418;0.0013;0.0081;0.2517;0.7406;20872;14260;0.0;0.5281;0.0139;0.0;"Arkansas State University-Main Campus";0.021;9128;4246.0;0.0153;0.0162;24.0;0.0288;0.0351;12500.0;1090.0;0.0;23.0;0.0;0.0;12500.0;19500.0;0.1218;0.0076;0.0;8200;0.0054;0.0;0.0;0.0005;0.0058;0.0;0.0;0.0;0.0;0.1934;12000.0;0.0;0.0328;23;450.0;0.0004;560.0;0.0;0.04;33450;0.6108749161;24.0;0.173;9250.0;0.1173;0.0054;0.0;0.0058;0.0166;13000.0;0.0;0.0;0.7518;0.003;0.0255;0.0;509.0;0.704;0.0404;0.0073;0.0;0.0;46692;0.0;7016;0.7681808011;12418.0;"";"";10562.0;11111.0;13104.0;14955.0;15286.0;"";""
110404;0.0;0.0909;0.004;0.0;0.0143;0.004;0.0;0.427;0.0;0.286;63471;47577;0.0;0.1469;0.0;9.0;"California Institute of Technology";0.0633;979;1261.0;0.2249;0.3695;35.0;0.0723;0.0;11500.0;1555.0;21219.0;35.0;0.0;0.0;0.0;12178.5;0.004;0.1767;0.0;47577;0.004;0.0;42977.0;0.0;0.1406;0.0;0.0;0.0;0.0;0.002;14758.5;0.0;0.0;19;765.0;0.0;785.0;6781.0;0.0;44848;0.4565217391;36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24702.0;5652.0;0.9308;0.0;0.1185;0.0;770.0;0.0807;0.0;0.0;3544.0;0.0;74238;0.0;19190;0.347826087;0.0;"";"";0.0;0.0;0.0;0.0;0.0;"";""
115409;0.0;0.111;0.0;0.0;0.0302;0.0052;0.0;0.193;0.0;0.3559;69355;52666;0.0052;0.3939;0.0;0.0;"Harvey Mudd College";0.0953;829;0.0;0.2228;0.3109;34.0;0.0674;0.0;21254.0;1496.0;21952.0;34.0;0.0;0.0;24588.0;23500.0;0.0;0.1606;0.0;52666;0.0;0.0;42967.0;0.0048;0.0933;0.0;0.0;0.0;0.0;0.0;19500.0;0.0;0.0;19;720.0;0.1295;770.0;25102.0;0.0;104805;0.4362745098;34.0;0.0;8832.0;0.0;0.0;0.0;0.0;0.0052;21936.5;30994.0;16726.0;0.9375;0.0036;0.158;0.0;730.0;0.1287;0.0;0.0483;15762.0;0.0;123783;0.0;13165;0.9215686275;0.0;"";"";0.0;0.0;0.0;0.0;0.0;"";""
115755;0.0;0.0137;0.0365;0.1592;0.0336;0.1083;0.011;0.0324;0.0683;0.429;23139;18369;0.0029;0.5504;0.0423;0.0;"Humboldt State University";0.0677;7956;521.0;0.011;0.0284;21.0;0.1135;0.0539;13600.0;983.0;0.0;21.0;0.0;0.0;12966.0;19002.0;0.0776;0.029;0.0;7209;0.0191;0.0;0.0;0.0023;0.0081;0.0;0.0;0.0;0.0;0.1837;14000.0;0.0;0.0724;22;0.0;0.0203;485.0;0.0;0.0579;26596;0.5871915719;21.0;0.0;8302.5;0.0;0.0;0.0;0.0069;0.0666;13771.5;0.0;0.0;0.5339;0.0102;0.3494;0.0;495.0;0.7709;0.0069;0.0617;0.0;0.0;42794;0.0;9051;0.7804269476;13515.0;"";"";10069.0;11248.0;15352.0;20130.0;22687.0;"";""
120254;0.0;0.0664;0.0287;0.043;0.0547;0.3176;0.0266;0.1415;0.0;0.4905;67046;51070;0.0143;0.4275;0.0;0.0;"Occidental College";0.0807;1957;0.0;0.0;0.0;30.0;0.1373;0.0;21000.0;1315.0;25494.0;31.0;0.0;0.0;22370.0;23215.0;0.0;0.0779;0.0;51070;0.0307;0.0;44977.0;0.001;0.0369;0.0;0.0;0.0;0.0;0.004;20500.0;0.0;0.0656;19;648.0;0.0656;660.0;17877.0;0.0348;76004;0.5845070423;29.0;0.0;9000.0;0.0;0.0;0.0;0.0553;0.0656;20355.0;27738.0;15258.0;0.7093;0.0;0.1472;0.0;650.0;0.4581;0.0;0.0179;11547.0;0.0;104313;0.0;11180;0.9366197183;0.0;"";"";0.0;0.0;0.0;0.0;0.0;"";""
121345;0.0;0.1125;0.0184;0.0395;0.0802;0.2237;0.0211;0.1429;0.0;0.3756;64870;49352;0.0237;0.1443;0.0421;0.0;"Pomona College";0.075;1547;0.0;0.0763;0.0;33.0;0.1711;0.0316;11700.0;1442.0;10346.0;33.0;0.0;0.0;9571.5;13400.0;0.0;0.1053;0.0;49352;0.0184;0.0;37440.0;0.0006;0.0789;0.0;0.0;0.0;0.0;0.0042;16000.0;0.0;0.0868;19;725.0;0.0132;720.0;6975.0;0.0;42689;0.5018867925;31.0;0.0;6950.0;0.0;0.0;0.0;0.0105;0.0395;7198.0;12873.0;3432.0;0.9612;0.0026;0.1551;0.0;720.0;0.0944;0.0;0.0556;5739.0;0.0;67046;0.0;12864;0.520754717;0.0;"";"";0.0;0.0;0.0;0.0;0.0;"";""
122409;0.0037;0.0606;0.017;0.0072;0.0406;0.108;0.0042;0.1367;0.0262;0.3359;22056;18244;0.0063;0.318;0.0325;0.0;"San Diego State University";0.0661;29398;4828.0;0.0148;0.0684;26.0;0.0389;0.074;13277.0;1132.0;0.0;25.0;0.0;0.0;12500.0;15000.0;0.2006;0.0123;0.0;7084;0.0072;0.0;0.0;0.0025;0.0139;0.0;0.0;0.0;0.0;0.1562;15000.0;0.0;0.0784;22;0.0;0.0211;565.0;0.0;0.0512;32530;0.5842020419;26.0;0.0857;8750.0;0.02;0.0482;0.0;0.0148;0.0458;12496.0;0.0;0.0;0.5287;0.0031;0.3134;0.0;545.0;0.3464;0.0;0.0411;0.0;0.0;53802;0.0;10249;0.5983879635;14585.0;"";"";8654.0;10735.0;14896.0;19468.0;21424.0;"";""
