"index";"School Name";"School Type";"Starting Median Salary";"Mid-Career Median Salary";"Mid-Career 10th Percentile Salary";"Mid-Career 25th Percentile Salary";"Mid-Career 75th Percentile Salary";"Mid-Career 90th Percentile Salary";"OPEID8";"Address";"City";"State";"Zip";"schoolid";"Web";"OPEID6"
0;"Massachusetts Institute of Technology";"Engineering";"$72,200.00 ";"$126,000.00 ";"$76,800.00 ";"$99,200.00 ";"$168,000.00 ";"$220,000.00 ";"00217800";"77 Massachusetts Avenue";"Cambridge";"MA";"02139-4307";166683.0;"web.mit.edu/";2178.0
1;"California Institute of Technology";"Engineering";"$75,500.00 ";"$123,000.00 ";"";"$104,000.00 ";"$161,000.00 ";"";"00113100";"1200 E California Blvd";"Pasadena";"CA";"91125";110404.0;"www.caltech.edu";1131.0
2;"Harvey Mudd College";"Engineering";"$71,800.00 ";"$122,000.00 ";"";"$96,000.00 ";"$180,000.00 ";"";"00117100";"301 Platt Blvd.";"Claremont";"CA";"91711";115409.0;"www.hmc.edu";1171.0
5;"Worcester Polytechnic Institute";"Engineering";"$61,000.00 ";"$114,000.00 ";"$80,000.00 ";"$91,200.00 ";"$137,000.00 ";"$180,000.00 ";"00223300";"100 Institute Road";"Worcester";"MA";"01609-2280";168421.0;"www.wpi.edu";2233.0
6;"Carnegie Mellon University";"Engineering";"$61,800.00 ";"$111,000.00 ";"$63,300.00 ";"$80,100.00 ";"$150,000.00 ";"$209,000.00 ";"00324200";"5000 Forbes Ave";"Pittsburgh";"PA";"15213-3890";211440.0;"www.cmu.edu/";3242.0
7;"Rensselaer Polytechnic Institute";"Engineering";"$61,100.00 ";"$110,000.00 ";"$71,600.00 ";"$85,500.00 ";"$140,000.00 ";"$182,000.00 ";"00280300";"110 8th St";"Troy";"NY";"12180-3590";194824.0;"www.rpi.edu";2803.0
9;"Colorado School of Mines";"Engineering";"$58,100.00 ";"$106,000.00 ";"$62,200.00 ";"$87,900.00 ";"$142,000.00 ";"$201,000.00 ";"00134800";"1500 Illinois St";"Golden";"CO";"80401";126775.0;"www.mines.edu";1348.0
10;"Stevens Institute of Technology";"Engineering";"$60,600.00 ";"$105,000.00 ";"$68,700.00 ";"$81,900.00 ";"$138,000.00 ";"$185,000.00 ";"00263900";"Castle Point On Hudson";"Hoboken";"NJ";"07030-5991";186867.0;"www.stevens-tech.edu";2639.0
11;"Illinois Institute of Technology";"Engineering";"$56,000.00 ";"$97,800.00 ";"$56,100.00 ";"$77,400.00 ";"$121,000.00 ";"$165,000.00 ";"00169100";"3300 S Federal St";"Chicago";"IL";"60616";145725.0;"www.iit.edu";1691.0
12;"Wentworth Institute of Technology";"Engineering";"$53,000.00 ";"$96,700.00 ";"$55,200.00 ";"$74,000.00 ";"$117,000.00 ";"$153,000.00 ";"00222500";"550 Huntington Ave";"Boston";"MA";"02115";168227.0;"WWW.WIT.EDU";2225.0
